time,num_idle,num_serving,num_charging,num_cruising,pass_arrivals,removed_pass
1464796500,2999,2999,2999,2999,0,0
1464796560,2999,2999,2999,2999,0,0
1464796620,2999,2999,2999,2999,0,0
1464796680,2999,2999,2999,2999,0,0
1464796740,2999,2999,2999,2999,0,0
1464796800,2999,2999,2999,2999,0,0
1464796860,2999,2999,2999,2999,0,0
1464796920,2999,2999,2999,2999,0,0
1464796980,2999,2999,2999,2999,0,0
1464797040,2999,2999,2999,2999,0,0
1464797100,2999,2999,2999,2999,0,0
1464797160,2999,2999,2999,2999,0,0
1464797220,2999,2999,2999,2999,0,0
1464797280,2999,2999,2999,2999,0,0
1464797340,2999,2999,2999,2999,0,0
1464797400,2999,2999,2999,2999,0,0
1464797460,2999,2999,2999,2999,0,0
1464797520,2999,2999,2999,2999,0,0
1464797580,2999,2999,2999,2999,0,0
1464797640,2999,2999,2999,2999,0,0
1464797700,2999,2999,2999,2999,0,0
1464797760,2999,2999,2999,2999,0,0
1464797820,2999,2999,2999,2999,0,0
1464797880,2999,2999,2999,2999,0,0
1464797940,2999,2999,2999,2999,0,0
1464798000,2999,2999,2999,2999,0,0
1464798060,2999,2999,2999,2999,0,0
1464798120,2999,2999,2999,2999,0,0
1464798180,2999,2999,2999,2999,0,0
1464798240,2999,2999,2999,2999,0,0
1464798300,2999,2999,2999,2999,0,0
1464798360,2999,2999,2999,2999,0,0
1464798420,2999,2999,2999,2999,0,0
1464798480,2999,2999,2999,2999,0,0
1464798540,2999,2999,2999,2999,0,0
1464798600,2999,2999,2999,2999,0,0
1464798660,2999,2999,2999,2999,0,0
1464798720,2999,2999,2999,2999,0,0
1464798780,2999,2999,2999,2999,0,0
1464798840,2999,2999,2999,2999,0,0
1464798900,2999,2999,2999,2999,0,0
1464798960,2999,2999,2999,2999,0,0
1464799020,2999,2999,2999,2999,0,0
1464799080,2999,2999,2999,2999,0,0
1464799140,2999,2999,2999,2999,0,0
1464799200,2999,2999,2999,2999,0,0
1464799260,2999,2999,2999,2999,0,0
1464799320,2999,2999,2999,2999,0,0
1464799380,2999,2999,2999,2999,0,0
1464799440,2999,2999,2999,2999,0,0
1464799500,2999,2999,2999,2999,0,0
1464799560,2999,2999,2999,2999,0,0
1464799620,2999,2999,2999,2999,0,0
