Train step=45200, hour=17, Loss = 6.814672815380618e-06
Train step=45300, hour=17, Loss = 6.726493211317575e-06
Train step=45400, hour=17, Loss = 6.763620149285998e-06
Train step=45500, hour=17, Loss = 7.18796127330279e-06
Train step=45600, hour=17, Loss = 6.938061687833397e-06
Train step=45700, hour=17, Loss = 7.452472800650867e-06
Train step=45800, hour=17, Loss = 6.8078297772444785e-06
Train step=45900, hour=17, Loss = 6.804746590205468e-06
Train step=46000, hour=17, Loss = 1.0219622708973475e-05
Train step=46100, hour=17, Loss = 6.989004759816453e-06
Train step=46200, hour=17, Loss = 7.128983270376921e-06
Train step=46300, hour=17, Loss = 2.027611481025815e-05
Train step=46400, hour=17, Loss = 6.791115083615296e-06
Train step=46500, hour=18, Loss = 0.00021861534332856536
Train step=46600, hour=18, Loss = 7.410735179291805e-06
Train step=46700, hour=18, Loss = 7.132649443519767e-06
Train step=46800, hour=18, Loss = 6.916720849403646e-06
Train step=46900, hour=18, Loss = 6.840606602054322e-06
Train step=47000, hour=18, Loss = 6.687514542136341e-06
Train step=47100, hour=18, Loss = 6.715413292113226e-06
Train step=47200, hour=18, Loss = 6.666587069048546e-06
Train step=47300, hour=18, Loss = 6.612563538510585e-06
Train step=47400, hour=18, Loss = 6.535414740937995e-06
Train step=47500, hour=18, Loss = 6.474066140071955e-06
Train step=47600, hour=18, Loss = 6.437480806198437e-06
Train step=47700, hour=18, Loss = 6.4959676819853485e-06
Train step=47800, hour=18, Loss = 6.5686881498550065e-06
Train step=47900, hour=18, Loss = 6.554774699907284e-06
Train step=48000, hour=18, Loss = 6.3945526562747546e-06
Train step=48100, hour=18, Loss = 6.455747552536195e-06
Train step=48200, hour=18, Loss = 6.441330242523691e-06
Train step=48300, hour=18, Loss = 6.536274668178521e-06
Train step=48400, hour=18, Loss = 6.722780199197587e-06
Train step=48500, hour=19, Loss = 0.0005441658431664109
Train step=48600, hour=19, Loss = 3.10065079247579e-05
Train step=48700, hour=19, Loss = 2.4298016796819866e-05
Train step=48800, hour=19, Loss = 1.4045891475689132e-05
Train step=48900, hour=19, Loss = 1.2275291737751104e-05
Train step=49000, hour=19, Loss = 9.475452316110022e-06
Train step=49100, hour=19, Loss = 1.1720687325578183e-05
Train step=49200, hour=19, Loss = 9.102803232963197e-06
Train step=49300, hour=19, Loss = 1.0189963177253958e-05
Train step=49400, hour=19, Loss = 1.0900499546551146e-05
Train step=49500, hour=19, Loss = 7.901131539256312e-06
